video_duration,number_of_views,number_of_comments,channel_video_count,number_of_likes
50,407565,703,1888,8023
69,571054,614,1888,12059
111,821854,714,1888,20409
90,605112,693,1888,13308
44,830138,870,1888,17885
630,129959,152,645,4715
635,114720,99,645,4027
679,136281,143,645,4635
682,144062,208,645,5254
696,142732,131,645,4793
45,3824,32,271,192
521,20570,76,271,1372
14,6516,73,271,777
20,3177,22,271,189
518,19832,49,271,1012
156,46980,401,23,4909
410,538312,1623,23,26127
294,287808,1187,23,18223
100,1880782,2142,23,38548
5388,601606,2589,23,19908
827,681723,203,106,14688
440,208979,135,106,2386
569,164485,57,106,1880
805,1752104,357,106,11817
271,405857,179,106,4704
